base_year_month,time_type,user_type,age_range,use_amount_by_million
201809,점심,내국인,19세 이하,23
201809,점심,내국인,20대,1383
201809,점심,내국인,30대,3091
201809,점심,내국인,40대,2952
201809,점심,내국인,50대,2498
201809,점심,내국인,60대,1382
201809,점심,내국인,70대 이상,415
201809,점심,제주도민,19세 이하,12
201809,점심,제주도민,20대,817
201809,점심,제주도민,30대,2145
201809,점심,제주도민,40대,4014
201809,점심,제주도민,50대,4171
201809,점심,제주도민,60대,2497
201809,점심,제주도민,70대 이상,1035
201810,밤,내국인,19세 이하,7
201810,밤,내국인,20대,591
201810,밤,내국인,30대,1000
201810,밤,내국인,40대,1197
201810,밤,내국인,50대,994
201810,밤,내국인,60대,366
201810,밤,내국인,70대 이상,53
201810,밤,제주도민,19세 이하,18
201810,밤,제주도민,20대,1071
201810,밤,제주도민,30대,1613
201810,밤,제주도민,40대,2431
201810,밤,제주도민,50대,2019
201810,밤,제주도민,60대,599
201810,밤,제주도민,70대 이상,105
201810,오전,내국인,19세 이하,21
201810,오전,내국인,20대,717
201810,오전,내국인,30대,1748
201810,오전,내국인,40대,2037
201810,오전,내국인,50대,1943
201810,오전,내국인,60대,1030
201810,오전,내국인,70대 이상,288
201810,오전,제주도민,19세 이하,8
201810,오전,제주도민,20대,386
201810,오전,제주도민,30대,1123
201810,오전,제주도민,40대,2143
201810,오전,제주도민,50대,2468
201810,오전,제주도민,60대,1371
201810,오전,제주도민,70대 이상,577
201810,오후,내국인,19세 이하,65
201810,오후,내국인,20대,1533
201810,오후,내국인,30대,3701
201810,오후,내국인,40대,4103
201810,오후,내국인,50대,3660
201810,오후,내국인,60대,1984
201810,오후,내국인,70대 이상,502
201810,오후,제주도민,19세 이하,37
201810,오후,제주도민,20대,1110
201810,오후,제주도민,30대,2834
201810,오후,제주도민,40대,5309
201810,오후,제주도민,50대,5137
201810,오후,제주도민,60대,2861
201810,오후,제주도민,70대 이상,1058
201810,저녁,내국인,19세 이하,36
201810,저녁,내국인,20대,1740
201810,저녁,내국인,30대,3661
201810,저녁,내국인,40대,4009
201810,저녁,내국인,50대,3532
201810,저녁,내국인,60대,1605
201810,저녁,내국인,70대 이상,364
201810,저녁,제주도민,19세 이하,50
201810,저녁,제주도민,20대,1836
201810,저녁,제주도민,30대,3735
201810,저녁,제주도민,40대,6160
201810,저녁,제주도민,50대,5740
201810,저녁,제주도민,60대,2401
201810,저녁,제주도민,70대 이상,584
201810,점심,내국인,19세 이하,35
201810,점심,내국인,20대,1211
201810,점심,내국인,30대,2829
201810,점심,내국인,40대,3041
201810,점심,내국인,50대,2721
201810,점심,내국인,60대,1616
201810,점심,내국인,70대 이상,459
201810,점심,제주도민,19세 이하,16
201810,점심,제주도민,20대,837
201810,점심,제주도민,30대,2154
201810,점심,제주도민,40대,3856
201810,점심,제주도민,50대,3904
201810,점심,제주도민,60대,2146
201810,점심,제주도민,70대 이상,936
201811,밤,내국인,19세 이하,4
201811,밤,내국인,20대,566
201811,밤,내국인,30대,850
201811,밤,내국인,40대,1105
201811,밤,내국인,50대,1018
201811,밤,내국인,60대,326
201811,밤,내국인,70대 이상,56
201811,밤,제주도민,19세 이하,16
201811,밤,제주도민,20대,1019
201811,밤,제주도민,30대,1481
201811,밤,제주도민,40대,2372
201811,밤,제주도민,50대,1957
201811,밤,제주도민,60대,552
201811,밤,제주도민,70대 이상,84
201811,오전,내국인,19세 이하,9
201811,오전,내국인,20대,649
201811,오전,내국인,30대,1397
201811,오전,내국인,40대,1784
201811,오전,내국인,50대,1862
201811,오전,내국인,60대,1020
201811,오전,내국인,70대 이상,298
201811,오전,제주도민,19세 이하,8
201811,오전,제주도민,20대,372
201811,오전,제주도민,30대,1015
201811,오전,제주도민,40대,2114
201811,오전,제주도민,50대,2399
201811,오전,제주도민,60대,1445
201811,오전,제주도민,70대 이상,656
201811,오후,내국인,19세 이하,32
201811,오후,내국인,20대,1471
201811,오후,내국인,30대,3095
201811,오후,내국인,40대,3612
201811,오후,내국인,50대,3870
201811,오후,내국인,60대,2029
201811,오후,내국인,70대 이상,514
201811,오후,제주도민,19세 이하,36
201811,오후,제주도민,20대,1052
201811,오후,제주도민,30대,2729
201811,오후,제주도민,40대,5046
201811,오후,제주도민,50대,5105
201811,오후,제주도민,60대,3109
201811,오후,제주도민,70대 이상,1192
201811,저녁,내국인,19세 이하,15
201811,저녁,내국인,20대,1628
201811,저녁,내국인,30대,3012
201811,저녁,내국인,40대,3494
201811,저녁,내국인,50대,3456
201811,저녁,내국인,60대,1574
201811,저녁,내국인,70대 이상,321
201811,저녁,제주도민,19세 이하,46
201811,저녁,제주도민,20대,1817
201811,저녁,제주도민,30대,3545
201811,저녁,제주도민,40대,6008
201811,저녁,제주도민,50대,5610
201811,저녁,제주도민,60대,2297
201811,저녁,제주도민,70대 이상,535
201811,점심,내국인,19세 이하,17
201811,점심,내국인,20대,1133
201811,점심,내국인,30대,2325
201811,점심,내국인,40대,2670
201811,점심,내국인,50대,2703
201811,점심,내국인,60대,1577
201811,점심,내국인,70대 이상,451
201811,점심,제주도민,19세 이하,15
201811,점심,제주도민,20대,799
201811,점심,제주도민,30대,2046
201811,점심,제주도민,40대,3799
201811,점심,제주도민,50대,3822
201811,점심,제주도민,60대,2291
201811,점심,제주도민,70대 이상,1020
201812,밤,내국인,19세 이하,5
201812,밤,내국인,20대,652
201812,밤,내국인,30대,910
201812,밤,내국인,40대,1028
201812,밤,내국인,50대,965
201812,밤,내국인,60대,271
201812,밤,내국인,70대 이상,48
201812,밤,제주도민,19세 이하,15
201812,밤,제주도민,20대,1134
201812,밤,제주도민,30대,1646
201812,밤,제주도민,40대,2623
201812,밤,제주도민,50대,2217
201812,밤,제주도민,60대,622
201812,밤,제주도민,70대 이상,106
201812,오전,내국인,19세 이하,4
201812,오전,내국인,20대,661
201812,오전,내국인,30대,1227
201812,오전,내국인,40대,1502
201812,오전,내국인,50대,1558
201812,오전,내국인,60대,722
201812,오전,내국인,70대 이상,197
201812,오전,제주도민,19세 이하,7
201812,오전,제주도민,20대,369
201812,오전,제주도민,30대,1006
201812,오전,제주도민,40대,2021
201812,오전,제주도민,50대,2307
201812,오전,제주도민,60대,1432
201812,오전,제주도민,70대 이상,721
201812,오후,내국인,19세 이하,16
201812,오후,내국인,20대,1844
201812,오후,내국인,30대,3188
201812,오후,내국인,40대,3542
